Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
05/02/2024,10:00,N,LZ_RAYBN,12.08
05/02/2024,10:00,N,LZ_SOUTH,13.63
05/02/2024,10:00,N,LZ_WEST,13.38
05/02/2024,11:00,N,HB_BUSAVG,13.35
05/02/2024,11:00,N,HB_HOUSTON,16.36
05/02/2024,11:00,N,HB_HUBAVG,13.83
05/02/2024,11:00,N,HB_NORTH,12.53
05/02/2024,11:00,N,HB_PAN,8.94
05/02/2024,11:00,N,HB_SOUTH,13.67
05/02/2024,11:00,N,HB_WEST,12.74
05/02/2024,11:00,N,LZ_AEN,18.85
05/02/2024,11:00,N,LZ_CPS,17.12
05/02/2024,11:00,N,LZ_HOUSTON,16.72
05/02/2024,11:00,N,LZ_LCRA,17.74
05/02/2024,11:00,N,LZ_NORTH,12.94
05/02/2024,11:00,N,LZ_RAYBN,12.68
05/02/2024,11:00,N,LZ_SOUTH,14.07
05/02/2024,11:00,N,LZ_WEST,13.39
05/02/2024,12:00,N,HB_BUSAVG,14.28
05/02/2024,12:00,N,HB_HOUSTON,16.45
05/02/2024,12:00,N,HB_HUBAVG,14.57
05/02/2024,12:00,N,HB_NORTH,13.97
05/02/2024,12:00,N,HB_PAN,12.60
